obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,topologia,outside,1,537251,"and the engineers, and how do they themselves consider the",outside,of these networks? Take for example the case of weather,0
latour_1987_science_action_en,latour,topologia,planes,1,537840,"anxiously await forecasts before taking decisions about seeding plants, flying",planes,fighting battles or going out for picnics. Inside the weather,0
latour_1987_science_action_en,latour,topologia,inside,1,537891,"plants, flying planes, fighting battles or going out for picnics.",Inside,"the weather stations, running the huge data banks fed with",0
latour_1987_science_action_en,latour,topologia,planes,1,539107,"necessary to run the networks of computers, instruments, satellites, probes,",planes,and ships that provide the necessary data. This situation creates,0
latour_1987_science_action_en,latour,topologia,scale,1,539568,you put all these opinions in one balance of the,scale,"and in the other the few claims of the meteorologists,",0
latour_1987_science_action_en,latour,topologia,inside,1,540068,"summer, the lived opinions of the multitude may be discounted",inside,"the networks of the International Meteorological Association. `No,' they say,",0
latour_1987_science_action_en,latour,topologia,inside,1,540511,one direction or in another depending on whether we are,inside,or outside the network developed by weathermen. A handful of,0
latour_1987_science_action_en,latour,topologia,outside,1,540521,or in another depending on whether we are inside or,outside,the network developed by weathermen. A handful of well-positioned men,0
latour_1987_science_action_en,latour,topologia,inside,1,540692,"This will happen only, however, as long as they stay",inside,"their own networks, because, no matter what the meteorologists think",0
latour_1987_science_action_en,latour,topologia,mesh,1,541037,'covers' the world's weather and still leaves out of its,mesh,almost every one of us. The problem for the meteorologists,0
